timestamp,position,tc_temp,internal_temp
925050,1372,714.5,22.56
925158,1371,703.0,22.56
925266,1370,697.25,22.56
925374,1369,687.5,22.62
925482,1368,680.5,22.62
925590,1367,673.75,22.56
925699,1366,663.0,22.56
925807,1365,657.5,22.56
925915,1364,649.75,22.56
926023,1363,640.0,22.56
926130,1362,626.0,22.56
926238,1361,621.25,22.56
926346,1360,609.5,22.56
926455,1359,606.5,22.5
926563,1358,598.5,22.56
926672,1357,595.5,22.62
926781,1356,594.0,22.5
926889,1355,587.0,22.56
926998,1354,583.5,22.5
927106,1353,572.0,22.56
927214,1352,567.0,22.62
927323,1351,556.5,22.56
927431,1350,552.0,22.56
927539,1349,544.25,22.56
927647,1348,540.25,22.56
927755,1347,533.75,22.56
927863,1346,527.5,22.56
927972,1345,519.5,22.5
928080,1344,516.75,22.56
928188,1343,512.0,22.56
928297,1342,503.5,22.56
928405,1341,497.5,22.56
928514,1340,489.0,22.56
928624,1339,485.5,22.56
928732,1338,473.0,22.56
928840,1337,468.25,22.5
928948,1336,457.5,22.56
929056,1335,453.0,22.56
929165,1334,443.5,22.56
929273,1333,439.0,22.56
929381,1332,436.5,22.56
929489,1331,425.25,22.56
929597,1330,420.0,22.56
929706,1329,410.5,22.56
929814,1328,406.0,22.56
929922,1327,400.25,22.56
930031,1326,396.0,22.56
930139,1325,391.75,22.56
930248,1324,387.5,22.56
930356,1323,380.25,22.56
930465,1322,377.75,22.56
930573,1321,372.25,22.56
930681,1320,365.5,22.56
930790,1319,359.25,22.56
930898,1318,350.25,22.56
931006,1317,347.0,22.5
931115,1316,336.75,22.56
931223,1315,333.5,22.56
931331,1314,321.25,22.56
931439,1313,316.0,22.56
931550,1312,305.25,22.56
931657,1311,300.5,22.56
931765,1310,296.75,22.62
931873,1309,286.25,22.56
931980,1308,281.5,22.56
932088,1307,273.25,22.56
932197,1306,269.0,22.56
932306,1305,261.75,22.56
932415,1304,256.0,22.56
932525,1303,249.25,22.56
932632,1302,244.5,22.56
932742,1301,237.25,22.56
932851,1300,233.75,22.56
932960,1301,225.0,22.56
933069,1302,221.75,22.56
933177,1303,216.5,22.56
933286,1304,209.5,22.5
933394,1305,207.25,22.5
933502,1306,200.0,22.56
933610,1307,198.25,22.62
933718,1308,191.75,22.56
933827,1309,189.25,22.56
933935,1310,184.25,22.56
934044,1311,181.75,22.56
934152,1312,178.0,22.56
934260,1313,174.5,22.56
934368,1314,172.0,22.62
934476,1315,168.0,22.56
934583,1316,165.75,22.56
934691,1317,163.0,22.56
934799,1318,160.0,22.56
934907,1319,157.25,22.56
935015,1320,154.25,22.56
935123,1321,151.0,22.56
935231,1322,150.25,22.56
935339,1323,146.0,22.56
935447,1324,145.75,22.5
935554,1325,143.25,22.56
935662,1326,139.75,22.56
935770,1327,139.5,22.56
935878,1328,139.0,22.56
935985,1329,140.25,22.56
936092,1330,140.75,22.5
936200,1331,140.75,22.62
936308,1332,141.5,22.56
936416,1333,141.25,22.56
936524,1334,140.75,22.56
936632,1335,141.25,22.56
936742,1336,142.0,22.56
936850,1337,143.5,22.56
936959,1338,145.0,22.56
937069,1339,149.5,22.5
937176,1340,150.25,22.56
937284,1341,155.75,22.56
937392,1342,157.75,22.56
937500,1343,163.75,22.56
937608,1344,167.5,22.56
937716,1345,168.25,22.56
937824,1346,173.75,22.56
937932,1347,176.0,22.56
938040,1348,183.0,22.56
938147,1349,188.25,22.56
938256,1350,195.75,22.5
938365,1351,200.75,22.56
938473,1352,210.0,22.56
938582,1353,215.25,22.56
938691,1354,228.0,22.56
938799,1355,234.0,22.56
938908,1356,249.0,22.56
939016,1357,254.5,22.56
939125,1358,261.75,22.56
939233,1359,275.25,22.56
939341,1360,281.0,22.56
939449,1361,292.75,22.56
939557,1362,297.25,22.56
939665,1363,309.25,22.56
939773,1364,313.25,22.56
939881,1365,324.25,22.62
939989,1366,330.5,22.56
940097,1367,333.0,22.56
940205,1368,342.0,22.56
940314,1369,347.25,22.56
940422,1370,354.75,22.56
940530,1371,362.25,22.56
940638,1372,377.0,22.56
940746,1373,385.0,22.56
940854,1374,402.25,22.56
940962,1375,410.25,22.5
941071,1376,426.0,22.56
941179,1377,433.5,22.56
941288,1378,448.25,22.56
941396,1379,452.75,22.5
941505,1380,459.5,22.56
941615,1381,472.25,22.56
941723,1382,476.5,22.56
941831,1383,487.25,22.56
941939,1384,490.25,22.56
942048,1385,500.0,22.56
942156,1386,504.0,22.56
942264,1387,511.25,22.56
942372,1388,516.5,22.56
942481,1389,522.25,22.56
942590,1390,525.5,22.56
942699,1391,533.25,22.56
942808,1392,546.75,22.56
942916,1393,554.5,22.56
943024,1394,569.25,22.56
943132,1395,577.5,22.56
943241,1396,596.5,22.56
943350,1397,605.0,22.56
943458,1398,620.0,22.56
943566,1399,626.0,22.56
943674,1400,642.0,22.56
943784,1401,647.25,22.56
943893,1402,662.25,22.56
944001,1403,668.0,22.56
944116,1404,681.5,22.62
944224,1405,689.5,22.56
944333,1406,694.75,22.56
944441,1407,706.25,22.56
944549,1408,712.0,22.56
944657,1409,722.75,22.56
944765,1410,729.25,22.56
944873,1411,738.25,22.62
944981,1412,743.5,22.56
945089,1413,755.75,22.56
945197,1414,760.5,22.56
945306,1415,771.0,22.56
945415,1416,777.0,22.56
945524,1417,782.25,22.56
945632,1418,793.0,22.56
945741,1419,799.0,22.56
945849,1420,810.5,22.56
945959,1421,814.5,22.56
946066,1422,825.5,22.56
946174,1423,830.0,22.56
946284,1424,841.75,22.56
946392,1425,848.25,22.56
946500,1426,859.25,22.56
946608,1427,867.0,22.56
946716,1428,873.25,22.56
946824,1429,886.5,22.56
946932,1430,893.25,22.56
947041,1431,905.0,22.56
947149,1432,912.0,22.56
947257,1433,919.0,22.5
947366,1434,921.75,22.56
947474,1435,926.0,22.56
947582,1436,927.75,22.56
947690,1437,931.75,22.56
947798,1438,933.75,22.56
947906,1439,936.0,22.56
948015,1440,939.75,22.56
948124,1441,942.25,22.56
948232,1442,948.0,22.56
948340,1443,948.0,22.56
948448,1444,953.75,22.5
948557,1445,958.0,22.56
948667,1446,968.0,22.56
948775,1447,973.5,22.56
948884,1448,979.5,22.56
948991,1449,985.0,22.56
949099,1450,994.0,22.56
949207,1451,998.25,22.5
949315,1452,1004.5,22.56
949423,1453,1011.75,22.56
949531,1454,1018.5,22.56
949639,1455,1026.75,22.5
949749,1456,1030.5,22.56
949857,1457,1037.0,22.56
949965,1458,1039.5,22.56
950073,1459,1045.5,22.56
950182,1460,1046.25,22.5
950289,1461,1047.5,22.56
950398,1462,1050.75,22.56
950506,1463,1051.25,22.56
950615,1464,1056.0,22.56
950723,1465,1055.5,22.56
950832,1466,1058.75,22.56
950941,1467,1058.75,22.56
951049,1468,1060.5,22.56
951158,1469,1063.0,22.56
951269,1470,1063.75,22.56
951377,1471,1065.75,22.56
951486,1472,1065.75,22.56
951594,1473,1066.25,22.56
951701,1474,1068.0,22.56
951809,1475,1067.25,22.56
951917,1476,1069.0,22.56
952026,1477,1067.5,22.56
952133,1478,1067.0,22.56
952241,1479,1065.5,22.56
952349,1480,1064.75,22.56
952459,1481,1064.25,22.62
952566,1482,1059.5,22.56
952674,1483,1055.75,22.56
952783,1484,1052.25,22.56
952893,1485,1050.5,22.5
953000,1486,1049.25,22.56
953110,1487,1046.75,22.56
953220,1488,1045.0,22.56
953328,1489,1042.25,22.56
